show_id,tipo,title,release_year,popularity,vote_average,vote_count,idioma,genero
10192,Película,Shrek Forever After,2010,203.893,6.38,7449,Inglés,Comedia
10192,Película,Shrek Forever After,2010,203.893,6.38,7449,Inglés,Acción y Aventura
10192,Película,Shrek Forever After,2010,203.893,6.38,7449,Inglés,Ciencia Ficción y Fantasía
10192,Película,Shrek Forever After,2010,203.893,6.38,7449,Inglés,Animación
10192,Película,Shrek Forever After,2010,203.893,6.38,7449,Inglés,Familiar
27205,Película,Inception,2010,156.242,8.369,37119,Inglés,Acción y Aventura
27205,Película,Inception,2010,156.242,8.369,37119,Inglés,Ciencia Ficción y Fantasía
12444,Película,Harry Potter and the Deathly Hallows: Part 1,2010,121.191,7.744,19327,Inglés,Acción y Aventura
12444,Película,Harry Potter and the Deathly Hallows: Part 1,2010,121.191,7.744,19327,Inglés,Ciencia Ficción y Fantasía
38757,Película,Tangled,2010,111.762,7.6,11638,Inglés,Animación
38757,Película,Tangled,2010,111.762,7.6,11638,Inglés,Familiar
38757,Película,Tangled,2010,111.762,7.6,11638,Inglés,Acción y Aventura
10191,Película,How to Train Your Dragon,2010,110.044,7.8,13259,Inglés,Ciencia Ficción y Fantasía
10191,Película,How to Train Your Dragon,2010,110.044,7.8,13259,Inglés,Acción y Aventura
10191,Película,How to Train Your Dragon,2010,110.044,7.8,13259,Inglés,Animación
10191,Película,How to Train Your Dragon,2010,110.044,7.8,13259,Inglés,Familiar
11324,Película,Shutter Island,2010,101.551,8.2,24282,Inglés,Drama
11324,Película,Shutter Island,2010,101.551,8.2,24282,Inglés,Suspenso
11324,Película,Shutter Island,2010,101.551,8.2,24282,Inglés,Misterio
38575,Película,The Karate Kid,2010,96.385,6.5,6082,Inglés,Acción y Aventura
38575,Película,The Karate Kid,2010,96.385,6.5,6082,Inglés,Drama
38575,Película,The Karate Kid,2010,96.385,6.5,6082,Inglés,Familiar
10138,Película,Iron Man 2,2010,95.255,6.8,21222,Inglés,Acción y Aventura
10138,Película,Iron Man 2,2010,95.255,6.8,21222,Inglés,Ciencia Ficción y Fantasía
38365,Película,Grown Ups,2010,93.281,6.394,6212,Inglés,Comedia
48650,Película,Room in Rome,2010,90.23,6.416,748,Español,Drama
48650,Película,Room in Rome,2010,90.23,6.416,748,Español,Romance
20352,Película,Despicable Me,2010,86.361,7.2,15258,Inglés,Animación
20352,Película,Despicable Me,2010,86.361,7.2,15258,Inglés,Familiar
20352,Película,Despicable Me,2010,86.361,7.2,15258,Inglés,Comedia
10193,Película,Toy Story 3,2010,83.097,7.8,14847,Inglés,Animación
10193,Película,Toy Story 3,2010,83.097,7.8,14847,Inglés,Familiar
10193,Película,Toy Story 3,2010,83.097,7.8,14847,Inglés,Comedia
24021,Película,The Twilight Saga: Eclipse,2010,81.8,6.204,8829,Inglés,Acción y Aventura
24021,Película,The Twilight Saga: Eclipse,2010,81.8,6.204,8829,Inglés,Ciencia Ficción y Fantasía
24021,Película,The Twilight Saga: Eclipse,2010,81.8,6.204,8829,Inglés,Drama
24021,Película,The Twilight Saga: Eclipse,2010,81.8,6.204,8829,Inglés,Romance
12155,Película,Alice in Wonderland,2010,80.326,6.6,14114,Inglés,Familiar
12155,Película,Alice in Wonderland,2010,80.326,6.6,14114,Inglés,Ciencia Ficción y Fantasía
12155,Película,Alice in Wonderland,2010,80.326,6.6,14114,Inglés,Acción y Aventura
73861,Película,A Serbian Film,2010,74.238,5.471,2018,Otro,Crimen
73861,Película,A Serbian Film,2010,74.238,5.471,2018,Otro,Terror
73861,Película,A Serbian Film,2010,74.238,5.471,2018,Otro,Suspenso
38234,Película,Undisputed III: Redemption,2010,71.837,7.517,925,Inglés,Acción y Aventura
38234,Película,Undisputed III: Redemption,2010,71.837,7.517,925,Inglés,Suspenso
38234,Película,Undisputed III: Redemption,2010,71.837,7.517,925,Inglés,Crimen
38234,Película,Undisputed III: Redemption,2010,71.837,7.517,925,Inglés,Drama
37799,Película,The Social Network,2010,69.048,7.368,12285,Inglés,Drama
61979,Película,Three Steps Above Heaven,2010,66.968,7.7,3095,Español,Romance
61979,Película,Three Steps Above Heaven,2010,66.968,7.7,3095,Español,Drama
32657,Película,Percy Jackson & the Olympians: The Lightning Thief,2010,64.865,6.21,7519,Inglés,Acción y Aventura
32657,Película,Percy Jackson & the Olympians: The Lightning Thief,2010,64.865,6.21,7519,Inglés,Ciencia Ficción y Fantasía
32657,Película,Percy Jackson & the Olympians: The Lightning Thief,2010,64.865,6.21,7519,Inglés,Familiar
23168,Película,The Town,2010,58.865,7.2,5117,Inglés,Crimen
23168,Película,The Town,2010,58.865,7.2,5117,Inglés,Drama
23168,Película,The Town,2010,58.865,7.2,5117,Inglés,Suspenso
34851,Película,Predators,2010,58.518,6.3,4194,Inglés,Ciencia Ficción y Fantasía
34851,Película,Predators,2010,58.518,6.3,4194,Inglés,Acción y Aventura
34851,Película,Predators,2010,58.518,6.3,4194,Inglés,Suspenso
38055,Película,Megamind,2010,58.422,6.999,6944,Inglés,Animación
38055,Película,Megamind,2010,58.422,6.999,6944,Inglés,Acción y Aventura
38055,Película,Megamind,2010,58.422,6.999,6944,Inglés,Comedia
38055,Película,Megamind,2010,58.422,6.999,6944,Inglés,Familiar
38055,Película,Megamind,2010,58.422,6.999,6944,Inglés,Ciencia Ficción y Fantasía
10140,Película,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,53.64,6.4,5621,Inglés,Acción y Aventura
10140,Película,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,53.64,6.4,5621,Inglés,Familiar
10140,Película,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,53.64,6.4,5621,Inglés,Ciencia Ficción y Fantasía
27578,Película,The Expendables,2010,53.249,6.248,7827,Inglés,Suspenso
27578,Película,The Expendables,2010,53.249,6.248,7827,Inglés,Acción y Aventura
18823,Película,Clash of the Titans,2010,51.888,5.9,6308,Inglés,Acción y Aventura
18823,Película,Clash of the Titans,2010,51.888,5.9,6308,Inglés,Ciencia Ficción y Fantasía
44214,Película,Black Swan,2010,45.984,7.7,14650,Inglés,Drama
44214,Película,Black Swan,2010,45.984,7.7,14650,Inglés,Suspenso
44214,Película,Black Swan,2010,45.984,7.7,14650,Inglés,Terror
23483,Película,Kick-Ass,2010,45.668,7.122,11730,Inglés,Acción y Aventura
23483,Película,Kick-Ass,2010,45.668,7.122,11730,Inglés,Crimen
20526,Película,TRON: Legacy,2010,44.783,6.5,7236,Inglés,Acción y Aventura
20526,Película,TRON: Legacy,2010,44.783,6.5,7236,Inglés,Ciencia Ficción y Fantasía
52629,Película,El Infierno,2010,43.812,7.9,691,Español,Acción y Aventura
52629,Película,El Infierno,2010,43.812,7.9,691,Español,Crimen
52629,Película,El Infierno,2010,43.812,7.9,691,Español,Western
52629,Película,El Infierno,2010,43.812,7.9,691,Español,Comedia
52629,Película,El Infierno,2010,43.812,7.9,691,Español,Drama
26389,Película,From Paris with Love,2010,43.037,6.27,2043,Inglés,Acción y Aventura
26389,Película,From Paris with Love,2010,43.037,6.27,2043,Inglés,Crimen
26389,Película,From Paris with Love,2010,43.037,6.27,2043,Inglés,Suspenso
10196,Película,The Last Airbender,2010,42.597,4.6,4004,Inglés,Acción y Aventura
10196,Película,The Last Airbender,2010,42.597,4.6,4004,Inglés,Ciencia Ficción y Fantasía
27581,Película,The Other Guys,2010,40.669,6.3,4234,Inglés,Acción y Aventura
27581,Película,The Other Guys,2010,40.669,6.3,4234,Inglés,Comedia
27581,Película,The Other Guys,2010,40.669,6.3,4234,Inglés,Crimen
27581,Película,The Other Guys,2010,40.669,6.3,4234,Inglés,Suspenso
47931,Película,Elite Squad: The Enemy Within,2010,40.66,7.811,1879,Portugués,Drama
47931,Película,Elite Squad: The Enemy Within,2010,40.66,7.811,1879,Portugués,Acción y Aventura
47931,Película,Elite Squad: The Enemy Within,2010,40.66,7.811,1879,Portugués,Crimen
9543,Película,Prince of Persia: The Sands of Time,2010,39.509,6.3,6807,Inglés,Acción y Aventura
9543,Película,Prince of Persia: The Sands of Time,2010,39.509,6.3,6807,Inglés,Ciencia Ficción y Fantasía
22538,Película,Scott Pilgrim vs. the World,2010,39.321,7.491,7985,Inglés,Acción y Aventura
22538,Película,Scott Pilgrim vs. the World,2010,39.321,7.491,7985,Inglés,Comedia
